date,action,pos,z,pnl,holding_days,shares_A,shares_B,price_A,price_B,reason
2020-09-15,ENTER_SHORT,-1,2.1657392475218784,,,,,,,
2020-10-07,EXIT,-1,0.7049147325144104,452.5242462158203,16.0,-262.0,640.0,36.26278305053711,13.069999694824219,TIME_STOP
2020-10-23,ENTER_SHORT,-1,2.342168787580932,,,,,,,
2020-11-16,EXIT,-1,1.921139134702239,-523.463303565979,16.0,-248.0,667.0,42.83124923706055,12.789999961853027,TIME_STOP
2020-12-08,ENTER_LONG,1,-2.0750434427360975,,,,,,,
2020-12-31,EXIT,1,-0.5649432925638637,745.5618381500244,16.0,225.0,-477.0,43.79913330078125,15.770000457763672,TIME_STOP
2021-01-28,ENTER_LONG,1,-2.4874333111641937,,,,,,,
2021-02-05,EXIT,1,-0.19514374652882288,1642.0265312194824,6.0,238.0,-465.0,47.03167724609375,17.190000534057617,REVERT
2021-04-22,ENTER_SHORT,-1,2.3117036494090915,,,,,,,
2021-05-10,EXIT,-1,0.4507874695221288,762.8881301879883,12.0,-174.0,419.0,57.65021514892578,22.0,REVERT
2021-06-02,ENTER_LONG,1,-2.527724402590382,,,,,,,
2021-06-24,EXIT,1,-1.4808720522766234,112.37298393249512,16.0,174.0,-325.0,51.36366271972656,22.350000381469727,TIME_STOP
2021-10-04,ENTER_SHORT,-1,2.5291654478131322,,,,,,,
2021-10-15,EXIT,-1,0.2008126808789746,298.266357421875,9.0,-193.0,393.0,47.32298278808594,19.979999542236328,REVERT
2021-11-04,ENTER_LONG,1,-2.241078968061804,,,,,,,
2021-11-26,EXIT,1,0.09157323631938262,337.93810081481934,15.0,216.0,-407.0,42.24863815307617,17.75,REVERT
2021-12-10,ENTER_LONG,1,-2.3451963808920104,,,,,,,
2022-01-04,EXIT,1,-0.7868963138932663,167.85595512390137,16.0,253.0,-467.0,41.96672439575195,19.020000457763672,TIME_STOP
2022-01-20,ENTER_SHORT,-1,2.1844634884232756,,,,,,,
2022-02-10,EXIT,-1,0.3189014400111172,484.99897384643555,15.0,-240.0,502.0,43.72394943237305,18.709999084472656,REVERT
2022-03-08,ENTER_SHORT,-1,2.032858592254613,,,,,,,
2022-03-16,EXIT,-1,0.39443091422137433,832.6806945800781,6.0,-271.0,622.0,40.51959228515625,16.469999313354492,REVERT
2022-04-22,ENTER_LONG,1,-2.638236699848065,,,,,,,
2022-05-02,EXIT,1,-0.3484637451447497,607.2811908721924,6.0,227.0,-417.0,43.72394943237305,18.559999465942383,REVERT
2022-06-14,ENTER_SHORT,-1,2.2994391419328917,,,,,,,
